from,to,r,x,b
79,80,0.0375,0.0775,0.0243
80,81,0.0372,0.1032,0.0376
81,82,0.0229,0.0834,0.0366
82,83,0.0085,0.1195,0.031
83,84,0.012,0.0964,0.0426
84,85,0.0398,0.0465,0.0098
85,86,0.0378,0.0593,0.0204
86,87,0.0107,0.0933,0.0077
87,88,0.0137,0.0379,0.0396
88,89,0.0242,0.0445,0.0348
89,90,0.0251,0.0768,0.0566
90,91,0.0376,0.0461,0.054
91,92,0.0266,0.1,0.0473
92,93,0.0022,0.0164,0.0419
93,94,0.0273,0.0541,0.0344
94,95,0.0017,0.0756,0.0523
95,96,0.0192,0.0944,0.0354
96,97,0.0216,0.0676,0.0286
97,98,0.0358,0.0319,0.0276
98,99,0.0213,0.0472,0.0537
99,100,0.0082,0.0457,0.045
100,101,0.0042,0.058,0.0231
101,102,0.0138,0.03,0.024
102,103,0.0332,0.0147,0.0375
103,104,0.0197,0.0228,0.0282
104,105,0.036,0.0852,0.0394
105,106,0.0028,0.015,0.0099
106,107,0.0079,0.0233,0.0533
107,108,0.0295,0.0329,0.0533
108,109,0.0231,0.0726,0.0556
109,110,0.0314,0.1168,0.0041
110,111,0.0039,0.0683,0.0357
111,112,0.0398,0.0524,0.0551
112,113,0.0024,0.0107,0.0007
113,114,0.0139,0.0429,0.0558
114,115,0.0276,0.0743,0.0112
115,116,0.0174,0.0487,0.0166
116,117,0.0257,0.1189,0.0374
117,118,0.0048,0.0455,0.0463
118,119,0.0195,0.015,0.0248
119,120,0.0354,0.0669,0.0295
120,121,0.0326,0.0855,0.0325
121,122,0.0303,0.095,0.0599
122,123,0.0309,0.0806,0.0171
123,124,0.0377,0.0152,0.0104
124,125,0.0252,0.0313,0.0461
125,126,0.0046,0.0782,0.0327
126,127,0.0271,0.0153,0.0428
127,128,0.0357,0.0182,0.0138
128,129,0.0034,0.0256,0.0255
129,130,0.0225,0.0557,0.0403
130,131,0.0207,0.0461,0.0505
131,132,0.03,0.1119,0.0033
132,133,0.0249,0.033,0.0131
133,134,0.0152,0.0388,0.0152
134,135,0.0045,0.0879,0.0019
135,136,0.0135,0.0762,0.0271
136,137,0.0206,0.0228,0.0029
137,138,0.0075,0.0839,0.0444
138,139,0.0149,0.0915,0.0521
139,140,0.0208,0.0147,0.038
140,141,0.0338,0.0374,0.0471
141,142,0.0034,0.0495,0.0434
142,143,0.0072,0.0128,0.0311
143,144,0.0222,0.0723,0.0188
144,145,0.0245,0.1129,0.0203
145,146,0.025,0.0901,0.0326
146,147,0.0016,0.0642,0.0404
147,148,0.0014,0.0964,0.0563
148,149,0.0083,0.0257,0.0229
149,150,0.038,0.092,0.0462
150,151,0.0267,0.0216,0.0256
151,152,0.0265,0.0246,0.0017
152,153,0.0074,0.0154,0.0043
153,154,0.0077,0.0162,0.0317
154,155,0.0338,0.0772,0.0358
155,156,0.0307,0.0916,0.0307
156,157,0.0337,0.0435,0.0442
157,158,0.0122,0.0643,0.0359
158,159,0.0186,0.1128,0.0006
159,160,0.0212,0.0552,0.0124
160,161,0.0012,0.039,0.0342
161,162,0.0103,0.0835,0.0135
162,163,0.0098,0.0599,0.0032
163,164,0.0049,0.1141,0.0368
164,165,0.0308,0.0847,0.0449
165,166,0.0342,0.0162,0.0086
166,167,0.0042,0.0887,0.0432
167,168,0.0173,0.1167,0.0034
168,169,0.0133,0.0688,0.057
169,170,0.0353,0.0911,0.0363
170,171,0.037,0.0361,0.0245
171,172,0.0373,0.0559,0.0447
172,173,0.0252,0.0513,0.0379
173,174,0.0244,0.0514,0.0311
174,175,0.0073,0.0558,0.0206
175,176,0.0178,0.0733,0.0422
176,177,0.0086,0.0518,0.0566
177,178,0.0148,0.0337,0.0479
178,179,0.033,0.0425,0.012
179,180,0.0305,0.0835,0.0201
180,181,0.0315,0.0544,0.0128
181,182,0.026,0.0496,0.0426
182,183,0.0201,0.021,0.0209
183,184,0.001,0.0831,0.0385
184,185,0.0201,0.0518,0.0323
185,186,0.0231,0.018,0.0045
186,187,0.0154,0.0767,0.0343
187,188,0.0198,0.0483,0.0257
188,189,0.01,0.0469,0.0266
189,190,0.0046,0.0496,0.0406
190,191,0.0067,0.0662,0.0234
191,192,0.007,0.0948,0.0303
192,193,0.0309,0.0278,0.0105
193,194,0.0243,0.0627,0.0567
194,195,0.0398,0.0564,0.0454
195,196,0.0333,0.0119,0.0236
196,197,0.0073,0.0971,0.0323
197,198,0.0331,0.1131,0.0168
198,199,0.0218,0.0532,0.0526
199,200,0.0164,0.0274,0.0589
200,201,0.0099,0.037,0.0036
201,202,0.0072,0.1148,0.0148
202,203,0.034,0.0475,0.0395
203,204,0.034,0.0127,0.0028
204,205,0.0328,0.0421,0.0005
205,206,0.0051,0.0747,0.015
206,207,0.034,0.0383,0.0225
207,208,0.0344,0.039,0.007
208,209,0.0267,0.0531,0.0466
209,210,0.0074,0.083,0.0352
210,211,0.0104,0.0885,0.004
211,212,0.0032,0.0116,0.0235
212,213,0.0211,0.0948,0.0367
213,214,0.017,0.0305,0.0598
214,215,0.0361,0.0642,0.0163
215,216,0.0368,0.0564,0.0552
216,217,0.0082,0.0585,0.0056
217,218,0.0298,0.0291,0.0422
218,219,0.0258,0.0246,0.0292
219,220,0.0119,0.0211,0.0455
220,221,0.0341,0.0662,0.0166
221,222,0.0289,0.0509,0.0524
222,223,0.0037,0.1085,0.0195
223,224,0.0397,0.0568,0.0474
224,225,0.0108,0.0874,0.0096
225,226,0.0323,0.0346,0.0053
226,227,0.0354,0.032,0.0292
227,228,0.0075,0.058,0.0527
228,229,0.0188,0.0679,0.0478
229,230,0.0203,0.0212,0.0541
230,231,0.0296,0.0337,0.0199
231,232,0.0052,0.116,0.0073
232,233,0.0378,0.0728,0.0447
233,234,0.0062,0.0113,0.0253
234,235,0.0084,0.0304,0.0447
235,236,0.0222,0.0572,0.0576
236,237,0.0122,0.0561,0.0549
237,238,0.0217,0.0884,0.0482
238,239,0.031,0.0803,0.0119
239,240,0.0078,0.0672,0.0516
240,241,0.0272,0.1075,0.0544
241,242,0.0327,0.1026,0.0451
242,243,0.0025,0.0679,0.0087
243,244,0.0224,0.1127,0.0329
244,245,0.0231,0.0891,0.0119
245,246,0.0251,0.0818,0.0402
246,247,0.0213,0.1149,0.0546
247,248,0.0159,0.1142,0.0106
248,249,0.0264,0.0187,0.0575
249,250,0.0334,0.0844,0.0154
250,251,0.0152,0.0599,0.0008
251,252,0.0275,0.0433,0.0289
252,253,0.0211,0.0917,0.0151
253,254,0.0119,0.0152,0.0042
254,255,0.0122,0.1011,0.0166
255,256,0.0329,0.0587,0.0318
256,257,0.0094,0.0845,0.058
257,258,0.0023,0.1007,0.0092
258,259,0.0012,0.036,0.0401
259,260,0.0259,0.085,0.0291
260,261,0.0246,0.0271,0.0078
261,262,0.0279,0.0871,0.0523
262,263,0.0329,0.0536,0.0381
263,264,0.0348,0.0302,0.0482
264,265,0.0374,0.0458,0.0177
265,266,0.0129,0.1052,0.0599
266,267,0.0166,0.0509,0.0227
267,268,0.0199,0.0797,0.0589
268,269,0.0148,0.0946,0.0204
269,270,0.0143,0.0103,0.0306
270,271,0.0271,0.0547,0.0094
271,272,0.0217,0.0519,0.0292
272,273,0.0254,0.0514,0.0083
273,274,0.0397,0.0846,0.0118
274,275,0.0162,0.034,0.0195
275,276,0.0021,0.0513,0.0507
276,277,0.0348,0.0793,0.0425
277,278,0.0117,0.094,0.027
278,279,0.0031,0.059,0.0523
279,280,0.0082,0.0736,0.0571
280,281,0.0274,0.0257,0.0315
281,282,0.0282,0.0252,0.0319
282,283,0.029,0.1189,0.0498
283,284,0.0128,0.0481,0.0085
284,285,0.0104,0.0129,0.002
285,286,0.0047,0.0335,0.0069
286,287,0.016,0.0188,0.0476
287,288,0.0022,0.0938,0.0264
288,289,0.0019,0.0692,0.0455
289,290,0.0235,0.0868,0.034
290,291,0.0273,0.0811,0.0551
291,292,0.024,0.0483,0.0144
292,293,0.0033,0.1111,0.029
293,294,0.0372,0.0688,0.0535
294,295,0.0086,0.1065,0.0399
295,296,0.036,0.0949,0.0599
296,297,0.0203,0.1042,0.056
297,298,0.0336,0.0121,0.0353
298,299,0.0329,0.1115,0.0237
299,300,0.0324,0.0643,0.0038
300,1,0.0221,0.0695,0.0027
77,243,0.0016,0.0717,0.034
69,1,0.031,0.0511,0.0063
153,226,0.0056,0.087,0.0547
6,48,0.0166,0.0154,0.0155
23,52,0.0295,0.0964,0.0171
176,32,0.0185,0.1038,0.0167
60,238,0.0204,0.075,0.0448
250,198,0.0317,0.0358,0.0289
202,87,0.035,0.0152,0.0204
281,2,0.0393,0.1117,0.0465
253,114,0.0169,0.0231,0.0461
293,104,0.0246,0.0982,0.0481
271,241,0.0188,0.0546,0.0226
32,23,0.0342,0.0981,0.0459
138,279,0.0164,0.072,0.0236
158,227,0.0215,0.035,0.0034
184,136,0.0104,0.0458,0.0153
16,207,0.012,0.1112,0.0424
276,75,0.0144,0.0961,0.0429
13,165,0.0167,0.083,0.0297
86,24,0.0356,0.0207,0.058
95,45,0.0139,0.0662,0.012
56,288,0.0323,0.0455,0.0386
18,115,0.0394,0.0544,0.0587
106,182,0.0336,0.0122,0.0005
246,168,0.0124,0.0595,0.0347
286,149,0.0322,0.1032,0.0326
187,210,0.0366,0.0795,0.0199
287,297,0.0093,0.0839,0.0496
232,80,0.0361,0.0597,0.015
204,9,0.037,0.0484,0.0343
152,44,0.0265,0.0328,0.0434
229,90,0.0316,0.0422,0.0311
47,98,0.0378,0.0183,0.0229
10,79,0.0255,0.0102,0.049
13,151,0.0095,0.0873,0.0532
65,97,0.023,0.0715,0.0475
226,188,0.0281,0.0758,0.0429
181,9,0.0357,0.0243,0.053
9,190,0.0101,0.0673,0.0043
118,142,0.0353,0.0636,0.0051
114,254,0.0144,0.1077,0.0508
172,131,0.0178,0.0777,0.0155
36,118,0.0036,0.0251,0.0305
209,92,0.0395,0.032,0.0053
234,265,0.0088,0.055,0.0066
68,150,0.0276,0.0156,0.0318
114,28,0.0265,0.0753,0.0486
116,181,0.0194,0.0298,0.0554
177,194,0.0372,0.1191,0.0488
73,48,0.014,0.0908,0.0077
201,69,0.0022,0.0972,0.0235
33,250,0.0158,0.0535,0.0495
179,185,0.0265,0.1066,0.0189
200,201,0.0358,0.0417,0.0038
49,93,0.0393,0.0247,0.0511
89,74,0.0328,0.0883,0.0044
196,11,0.0311,0.1002,0.0207
42,26,0.0374,0.1083,0.033
241,171,0.0139,0.1144,0.0527
169,249,0.0286,0.0542,0.0591
68,17,0.0315,0.1156,0.0364
5,107,0.0097,0.0131,0.0465
224,11,0.0254,0.0122,0.0118
266,175,0.0016,0.0703,0.0141
110,83,0.0106,0.045,0.0467
169,242,0.0269,0.0417,0.0147
63,124,0.0165,0.1019,0.0451
238,6,0.0362,0.0863,0.047
268,19,0.0151,0.0164,0.0407
266,40,0.0027,0.0476,0.0072
155,191,0.0198,0.1187,0.0115
8,1,0.0059,0.1094,0.0373
190,29,0.0124,0.0499,0.0587
238,289,0.0365,0.1082,0.0009
18,228,0.0124,0.1111,0.0471
143,225,0.0201,0.1115,0.0433
150,121,0.0107,0.0211,0.0238
244,192,0.0073,0.1114,0.0158
279,223,0.0071,0.0811,0.0377
134,232,0.003,0.0893,0.0486
296,184,0.0081,0.0348,0.0391
295,30,0.0342,0.1177,0.0404
109,4,0.0131,0.0624,0.0118
211,262,0.0187,0.1031,0.0431
115,26,0.0031,0.048,0.0309
158,61,0.039,0.0383,0.0565
136,33,0.0112,0.0475,0.0077
215,12,0.0133,0.0684,0.0141
8,122,0.0168,0.0351,0.0587
16,50,0.0105,0.0984,0.052
284,130,0.0082,0.0863,0.0382
228,88,0.0232,0.096,0.004
279,225,0.0108,0.0133,0.0383
175,116,0.0026,0.0375,0.0229
168,284,0.0314,0.1145,0.0012
239,216,0.0337,0.0308,0.0315
77,1,0.0246,0.1188,0.0461
92,191,0.0176,0.0907,0.0404
141,150,0.0156,0.016,0.0343
99,59,0.0074,0.03,0.0431
269,177,0.0048,0.0161,0.04
141,287,0.0212,0.0806,0.0332
43,35,0.0029,0.0558,0.0411
100,243,0.0356,0.0913,0.0424
87,78,0.0123,0.0398,0.054
233,52,0.0334,0.0267,0.0293
26,238,0.0112,0.0678,0.0309
265,148,0.0333,0.0656,0.0596
294,129,0.0317,0.0258,0.0286
254,157,0.0198,0.0777,0.0217
